"Timestamp","U1. How many years of professional experience do you have?","U2. What is your gender? (we promote equity and diversity in our study)","U3. Which best describes your role?","Q1. What is the size of your engineering organization?","Q2. On a scale of 1 to 5 where your team or organization positions in practice of DevOps ?","Q3. What is the earliest year your organization started devOps practices?","Q4. What organizational process/training you follow to adapt devOps practices and tools?","Q5. What tools do you use as part of your devOps practice? (You can write additional tools in other box as comma separated)","Q6. What do you think the most critical part of devOps life cycle?","Q7. What difficulties do you face in this critical phase of devOps that you work on?","Q8. When a new project is ready to go live, which devOps part you initiate first?","Q9. Please choose difficulty level for each of the tools/topics below. [Build (Ant, Maven, Gradle)]","Q9. Please choose difficulty level for each of the tools/topics below. [Quality Assurance (SonarQube, Selenium, JMeter, ...)]","Q9. Please choose difficulty level for each of the tools/topics below. [Integration Pipeline (Jenkins, ...)]","Q9. Please choose difficulty level for each of the tools/topics below. [Configuration Automation (Ansible, Chef, Puppet, ...)]","Q9. Please choose difficulty level for each of the tools/topics below. [Containerization & Orchestration (Docker, DockerSwarm, Kubernetes, ...)]","Q9. Please choose difficulty level for each of the tools/topics below. [Cloud Infra Automation (Terraform, CloudFormation, ...)]","Q9. Please choose difficulty level for each of the tools/topics below. [Monitoring (Splunk, ELK, Grafana/Prometheus), ...]","Q10. What are the advantages of the continuous integration tool you primarily use (e.g. Jenkins or Gitlab CI etc.)?","Q11. What challenges you face while using your primary integration tool (you may also mention status of community support)?","Q12. How often your developers face problems related with basic IT Infra (e.g., repository or file settings, user permission settings, scripting syntax or execution permission etc.)","Q13. How often you get solutions from community or Stack Overflow about the devOps problems you  face?","Q14. Which cloud services do you use","Q15. Do you think Cloud infra automation (Terraform, CloudFormation etc.) will be more used in future? If so, why? If not, why?"
"2021/08/03 10:49:04 PM GMT+6","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/08/04 1:10:38 PM GMT+6","6 - 10","","Service or Operations Manager","500+","3","2016","Not Sure","Git;SonarQube;Gitlab CI/CD;Jenkins;Ansible;Docker;Kubernetes;Graphana","Integration","Not sure","Continuous testing","","","","","","","","","","","","Amazon CloudFormation;AWS",""
"2021/08/04 1:39:08 PM GMT+6","2- 5","Male","Development engineer","100","4","2017","Test Automation, Continuous delivery, Contineuous deployment, Docker, Kubernates","Git;Maven;Gradle;Selenium;Jenkins;Docker;Kubernetes;Docket Swarm;Elastic Search/Kibana","Integration","Integration and Tests of different cloud services (for example, some services are in AWS and other in Azure)","Containerization & orchestration","Easy to use, easy to learn","Easy to use, easy to learn","Easy to use, easy to learn","Didn't use","Easy to use after some experience","Easy to use after some experience","Easy to use, easy to learn","Jenkins and Gitlab have lots of guidelines and they are easy to integrate with little fuss with any version controlling system","Integration tools get frequent updates and after few months/years, their plugins can't be used. Even it happened that old version of Jenkins become unsupported after few years and in that case, migration is needed to be done.","Sometimes","Often","AWS","Yes, both tools are for only cloud purpose while other tools are  for local data centers. Even both Terraform and Cloudformation have made integrations lots easier, like when a technology stack is chosen, they offer automatic or default solution and that helps a lot as we can make that work with little custom modification. Also what the tools often show us warning if our chaining or procedure may degrade deployemnt time."
"2021/08/04 6:27:43 PM GMT+6","more than 10","Male","DevOps Engineer","50","5","2016","AWS SAA, CKA, Jekins, Ansible, Docker Compose, Bash Script","Git;Maven;Gradle;ANT;Jenkins;Ansible;Chef;Terraform;CloudFormation;Vagrant;Docker;Kubernetes;Docket Swarm;Elastic Search/Kibana;Graphana","Build","","Complete integration pipeline","Easy to use after some experience","Frequent troubleshooting needed","Easy to use, easy to learn","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Frequent troubleshooting needed","Both","Build Fail","Rarely","Sometimes","AWS","Yes, Because by this Infrastructure creation take very less time, its error free, and mainly  suitable for DR."
"2021/08/04 7:53:08 PM GMT+6","6 - 10","Male","Development engineer","50","3","2019","Organizational training, hands on projects and programs for learning, etc.","Git;Maven;Gradle;JMeter;Ansible;Docker;Elastic Search/Kibana","Integration","DevOps adaptation on various dependent and connected system, support and policies.","Complete integration pipeline","Easy to use after some experience","Frequent troubleshooting needed","Frequent troubleshooting needed","Many cases even StackOverflow can't help","Easy to use after some experience","Many cases even StackOverflow can't help","Frequent troubleshooting needed","Automated integration after configuration, easy/web access and monitoring, convenient to adapt continuous delivery, etc.","Not always interconnected and dependent systems can all be put under CI because of policy or support limitations.","Often","Often","AWS;Azure DevOps","Yes. Very convenient for replication, disaster management, and high level supervision."
"2021/08/05 9:13:59 AM GMT+6","6 - 10","Male","Service or Operations Manager","250","3","2019","NA","Git;JMeter;Gitlab CI/CD;Jenkins;Docker;Kubernetes;Prometheus;Graphana","Integration","Automation","Deployment configuration automation","Easy to use after some experience","Didn't use","Easy to use after some experience","Didn't use","Frequent troubleshooting needed","Didn't use","Didn't use","Reduce time","CICD","Always","Always","NA","Yes"
"2021/08/05 9:56:29 AM GMT+6","more than 10","Male","Solution Architect","50","3","2019","Udemy, Plural Sight","Git;Maven;SonarQube;JMeter;Jenkins;Docker;Kubernetes;Elastic Search/Kibana;Prometheus;Graphana","Integration","Security scanning, Integration testing different environment deployment like dev, stage, prod from single point and also multi cluster deployment","Continuous source code build","Easy to use, easy to learn","Many cases even StackOverflow can't help","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Didn't use","Many cases even StackOverflow can't help","It is user-friendly, easy to install and does not require additional installations or components. It is free of cost. Easily Configurable. Jenkins can be easily modified and extended. It deploys code instantly, generates test reports. Platform Independent. Jenkins is available for all platforms and different operating systems, whether OS X, Windows or Linux. Rich Plugin ecosystem. The extensive pool of plugins makes Jenkins flexible and allows building, deploying and automating across various platforms.","It taking time to fix critical issues because it needs to search in the community and some time it is not possible to find the solution.","Often","Often","AWS;Private cloud ","Terraform, Ansible, GitOps with ArgoCD"
"2021/08/05 8:37:22 PM GMT+6","more than 10","Male","DevOps Engineer","100","3","2015","We have 3 environments dev, test and production. Build and release Pipelines are present for automated deployment in all 3 environments. Most of the applications are in containerized micro-service base architecture. Using managed Kubenrnetes service for Container orchestration. Managed service for cache, queuing, Databases from cloud providers.  ","Git;JMeter;Gitlab CI/CD;Ansible;CloudFormation;Docker;Kubernetes;Elastic Search/Kibana;Prometheus;Graphana","Monitoring","Monitoring and log analytics are the most critical part in my opinion as very  well balance of automation and manual effort needed in alert, response and escalation/resolution.","Complete integration pipeline","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Frequent troubleshooting needed","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","previously used jenkins, currently using Azure DevOps as we found its easy to use for even juniors in team.","In azure devops we found issues in agents using ansible even community cant help. ","Rarely","Often","Amazon CloudFormation;AWS;Azure DevOps;Azure Kubernetes Service;Azure Iaas, Paas","Its already being used much. As it is mostly used by people having programming exposer, the lack of system and networking knowledge in this set of people is a major problem in my opinion."
"2021/08/05 10:28:50 PM GMT+6","28","Male","Solution Architect","100","3","2016","In development area it started as Git Workflow based process. In systems operations area it was closely modeled against ITIL practices","Git;Gradle;Selenium;JMeter;Gitlab CI/CD;Ansible;Vagrant;Docker;Elastic Search/Kibana;Graphana;Graylog, Protractor, Locust, heavy use of Shell scripting and Python scripts and Gsuite API","Monitoring","Too many tools and practices. Each team must explore do trial and error and settle on what best works for the team. This takes quite a long period and there is a great possibility that teams might lose way somewhere in the middle and management will lose focus","Cloud infra automation","Easy to use, easy to learn","Easy to use after some experience","Easy to use, easy to learn","Frequent troubleshooting needed","Frequent troubleshooting needed","Frequent troubleshooting needed","Many cases even StackOverflow can't help","Gitlab CI is simpler and easier for the specific workflow we are using.","Our experience is whatever integration tool we may chose to use or not there are a lot of glue things every team needs to develop for their own use cases every now and then. So the focus should be not on using one single big/stable tool, rather the focus should be on building a team who can code and tweak existing tools/systems/frameworks","Sometimes","Often","Inhouse OpenStack","I think such tools will be more common and more adopted by teams in coming days"
"2021/08/06 5:36:01 AM GMT+6","6 - 10","Male","Operations engineer","50","4","2020","","Git;Docker;Kubernetes;Docket Swarm;Azure Devops Pipeline","Deployment","","Containerization & orchestration","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","","","Rarely","Often","AWS;Azure DevOps","Yes, "
"2021/08/06 8:06:27 AM GMT+6","more than 10","Male","Solution Architect","50","3","2020","Agile","Git;Maven;Gradle;Selenium;Ansible;GitLab CI CD, Graylog","Monitoring","skills of the developers","Did not understand ""ready to go live"", Do you mean ready to start development work or the code base is ready to be deployed in a production system?","Easy to use, easy to learn","Easy to use after some experience","Easy to use after some experience","Frequent troubleshooting needed","Didn't use","Didn't use","Easy to use after some experience","Automated Test and Automated deployment from a single source that the whole development team is contributing to.","Lack of training.","Sometimes","Sometimes","On-premise kvm virtual machines managed by OpenStack and  Proxmox","We have plan to use Terraform and Ansible in future. "
"2021/08/06 8:26:50 AM GMT+6","more than 10","Prefer not to say","Solution Architect","10","2","","","Git;Gradle;Vagrant;Docker","Integration","Lack of organizational training facility","Continuous testing","Easy to use, easy to learn","Didn't use","Didn't use","Didn't use","Easy to use after some experience","Easy to use after some experience","Easy to use after some experience","Used Gitlab CI before. The main advantage is that it works well with Gitlab compared to Jenkins. Less troubleshooting. ","The initial setup is a hurdle for any integration tool.","Often","Always","Bangla Cloud","Yes. To save time and avoid errors."
