Iteration,Topics,Alpha,Beta,Coherence
100,5,0.05,0.01,0.1964
100,10,0.05,0.01,0.1953
100,15,0.05,0.01,0.1872
100,20,0.05,0.01,0.196
100,25,0.05,0.01,0.1964
100,30,0.05,0.01,0.1938
100,35,0.05,0.01,0.193
100,40,0.05,0.01,0.1992
100,45,0.05,0.01,0.203
100,50,0.05,0.01,0.2024
100,5,0.1,0.01,0.2142
100,10,0.1,0.01,0.2326
100,15,0.1,0.01,0.225
100,20,0.1,0.01,0.2468
100,25,0.1,0.01,0.2477
100,30,0.1,0.01,0.2479
100,35,0.1,0.01,0.2533
100,40,0.1,0.01,0.2553
100,45,0.1,0.01,0.2589
100,50,0.1,0.01,0.2523
100,5,0.5,0.01,0.2651
100,10,0.5,0.01,0.3478
100,15,0.5,0.01,0.3647
100,20,0.5,0.01,0.393
100,25,0.5,0.01,0.3957
100,30,0.5,0.01,0.4046
100,35,0.5,0.01,0.3811
100,40,0.5,0.01,0.3907
100,45,0.5,0.01,0.3954
100,50,0.5,0.01,0.3988
100,5,1,0.01,0.2684
100,10,1,0.01,0.3484
100,15,1,0.01,0.4011
100,20,1,0.01,0.4169
100,25,1,0.01,0.4221
100,30,1,0.01,0.4307
100,35,1,0.01,0.4335
100,40,1,0.01,0.4166
100,45,1,0.01,0.4185
100,50,1,0.01,0.4271
100,5,5,0.01,0.3514
100,10,5,0.01,0.4061
100,15,5,0.01,0.4233
100,20,5,0.01,0.44
100,25,5,0.01,0.4459
100,30,5,0.01,0.4494
100,35,5,0.01,0.4423
100,40,5,0.01,0.435
100,45,5,0.01,0.439
100,50,5,0.01,0.4415
100,5,10,0.01,0.3231
100,10,10,0.01,0.4052
100,15,10,0.01,0.4119
100,20,10,0.01,0.4189
100,25,10,0.01,0.4305
100,30,10,0.01,0.4431
100,35,10,0.01,0.4343
100,40,10,0.01,0.4177
100,45,10,0.01,0.4104
100,50,10,0.01,0.4106
100,5,50,0.01,0.2482
100,10,50,0.01,0.2797
100,15,50,0.01,0.3138
100,20,50,0.01,0.3158
100,25,50,0.01,0.315
100,30,50,0.01,0.3212
100,35,50,0.01,0.3054
100,40,50,0.01,0.3206
100,45,50,0.01,0.3085
100,50,50,0.01,0.3061
500,5,0.05,0.01,0.2825
500,10,0.05,0.01,0.3058
500,15,0.05,0.01,0.2991
500,20,0.05,0.01,0.3249
500,25,0.05,0.01,0.3397
500,30,0.05,0.01,0.3403
500,35,0.05,0.01,0.3181
500,40,0.05,0.01,0.3475
500,45,0.05,0.01,0.3249
500,50,0.05,0.01,0.3366
500,5,0.1,0.01,0.2812
500,10,0.1,0.01,0.3254
500,15,0.1,0.01,0.3532
500,20,0.1,0.01,0.3735
500,25,0.1,0.01,0.3705
500,30,0.1,0.01,0.3762
500,35,0.1,0.01,0.3763
500,40,0.1,0.01,0.3826
500,45,0.1,0.01,0.3835
500,50,0.1,0.01,0.3735
500,5,0.5,0.01,0.3075
500,10,0.5,0.01,0.3688
500,15,0.5,0.01,0.4139
500,20,0.5,0.01,0.4194
500,25,0.5,0.01,0.4203
500,30,0.5,0.01,0.4243
500,35,0.5,0.01,0.4423
500,40,0.5,0.01,0.4243
500,45,0.5,0.01,0.433
500,50,0.5,0.01,0.4311
500,5,1,0.01,0.3093
500,10,1,0.01,0.3906
500,15,1,0.01,0.4196
500,20,1,0.01,0.4449
500,25,1,0.01,0.4284
500,30,1,0.01,0.4489
500,35,1,0.01,0.4573
500,40,1,0.01,0.4484
500,45,1,0.01,0.4507
500,50,1,0.01,0.4454
500,5,5,0.01,0.3255
500,10,5,0.01,0.4158
500,15,5,0.01,0.4352
500,20,5,0.01,0.4524
500,25,5,0.01,0.4447
500,30,5,0.01,0.4575
500,35,5,0.01,0.4501
